calculation_variable,market,source,interface_or_tool,raw_field,conversion_rule,unit,period,missing_handling,status
pretax_income,US,SEC Company Facts,annual facts,"IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest; ifrs-full:ProfitLossBeforeTax","Use mapped annual row",USD/CNY,complete FY,"Missing rate/NOPAT unavailable",CONFIRMED
cash_and_equivalents,US,FMP,balance sheet,"cashAndCashEquivalents; fallback cashAndShortTermInvestments","If field already includes STI, do not add STI again",reported currency,latest balance-sheet date,"Missing broad assets is a core US missing input",CONFIRMED
cash_and_equivalents,US,SEC Company Facts,annual facts,"CashAndCashEquivalentsAtCarryingValue; CashCashEquivalentsAndShortTermInvestments; ifrs-full:CashAndCashEquivalents","Use mapped annual row and preserve whether STI is included",USD/CNY,latest annual balance date,"Missing may block broad financial asset calculation",CONFIRMED
short_term_investments,US,FMP,balance sheet,"shortTermInvestments","Add only when cash field does not already include STI",reported currency,latest balance-sheet date,"If unavailable, broad assets may use cash lower bound only with note",CONFIRMED
short_term_investments,US,SEC Company Facts,annual facts,"ShortTermInvestments; AvailableForSaleSecuritiesCurrent; MarketableSecuritiesCurrent","Map to current financial liquidity; avoid double count with combined cash field",USD/CNY,latest annual balance date,"Missing optional asset is excluded with note",CONFIRMED
financial_assets_current,US,SEC Company Facts,annual facts,"DebtSecuritiesHeldToMaturityAmortizedCostAfterAllowanceForCreditLossCurrent; HeldToMaturitySecuritiesCurrent; AvailableForSaleSecuritiesDebtSecuritiesCurrent","Include only when mapped and not already in cash/STI",USD/CNY,latest annual balance date,"Missing excluded from broad deduction with note",CONFIRMED
financial_assets_noncurrent,US,SEC Company Facts,annual facts,"DebtSecuritiesHeldToMaturityAmortizedCostAfterAllowanceForCreditLossNoncurrent","Include only when mapped",USD/CNY,latest annual balance date,"Missing excluded from broad deduction with note",CONFIRMED
total_debt,US,FMP,balance sheet,"totalDebt","Trust direct FMP totalDebt; do not add lease separately",reported currency,latest balance-sheet date,"If missing, derive components or use lease-only fallback",CONFIRMED
total_debt,US,FMP,balance sheet,"shortTermDebt; currentLongTermDebt/currentPortionOfLongTermDebt; longTermDebt/longTermDebtNonCurrent","If direct totalDebt missing, sum mapped components; if leases exist use max(component_total,lease)",reported currency,latest balance-sheet date,"If all absent, total debt missing",CONFIRMED
total_debt,CN_A/CN_AH,Tushare,balancesheet,"SHORT_LOAN; NONCURRENT_LIAB_1YEAR; LONG_LOAN; BOND_PAYABLE; SHORT_BOND_PAYABLE; SHORT_FIN_PAYABLE","Nonnegative each component, then sum six components",CNY,latest balance-sheet date,"Each missing component is assumed zero and noted by old implementation",CONFIRMED
lease_liabilities,US,FMP,balance sheet,"capitalLeaseObligations; operatingLeaseLiabilities; operatingLeaseLiability; financeLeaseLiabilities; leaseLiabilities","Used in debt fallback only; not separately added when direct totalDebt is trusted",reported currency,latest balance-sheet date,"Missing is allowed if direct totalDebt exists",CONFIRMED
lease_liabilities,CN_A/CN_AH,Tushare,balancesheet,"LEASE_LIAB","Add as a debt-like EV component",CNY,latest balance-sheet date,"Missing assumed zero with note",CONFIRMED
minority_interest,US,FMP,balance sheet,"minorityInterest","Use max(value,0) in EV",reported currency,latest balance-sheet date,"Missing assumed zero with note in US prescreen",CONFIRMED
minority_interest,CN_A/CN_AH,Tushare,balancesheet,"MINORITY_EQUITY","Use nonnegative value in EV",CNY,latest balance-sheet date,"Missing assumed zero with note",CONFIRMED
preferred_instruments,US,FMP,balance sheet,"preferredStock","Use max(value,0) in EV",reported currency,latest balance-sheet date,"Missing assumed zero with note",CONFIRMED
preferred_instruments,CN_A/CN_AH,Tushare,balancesheet,"PREFERRED_SHARES_PAYBALE; fallback PREFERRED_SHARES","Use nonnegative value in EV",CNY,latest balance-sheet date,"Missing assumed zero with note",CONFIRMED
perpetual_instruments,US,FMP/SEC,not mapped consistently,"UNKNOWN","Old US prescreen fixes perpetual instruments at zero and records unavailable; do not infer from ordinary debt",reported currency,latest balance-sheet date,"Assumed zero in legacy US result; product confirmation required for a future mapped field",LEGACY/UNKNOWN
perpetual_instruments,CN_A/CN_AH,Tushare,balancesheet,"PERPETUAL_BOND_PAYBALE; PERPETUAL_BOND; OTHER_EQUITY_TOOL","Use first available nonnegative field",CNY,latest balance-sheet date,"Missing assumed zero with note",CONFIRMED
cash,CN_A/CN_AH,Tushare,balancesheet,"MONETARYFUNDS","Use nonnegative cash component",CNY,latest balance-sheet date,"Missing assumed zero with note in old A-share EV",CONFIRMED
trading_financial_assets,CN_A/CN_AH,Tushare,balancesheet,"TRADING_FINANCIAL_ASSETS; TRADE_FINASSET; FVTPL_FINASSET; TRADE_FINASSET_NOTFVTPL","Use first available nonnegative field and deduct from EV",CNY,latest balance-sheet date,"Missing assumed zero with note",CONFIRMED
other_current_financial_assets,CN_A/CN_AH,Tushare,balancesheet,"OTHER_CURRENT_FINASSET","Use nonnegative value and deduct from EV",CNY,latest balance-sheet date,"Missing assumed zero with note",CONFIRMED
shares_outstanding,US,FMP,quote/profile,"sharesOutstanding; fallback profile.sharesOutstanding; fallback round(marketCap/price)","Use market snapshot share count for market cap; annual weighted-average shares are context only",shares,price snapshot,"Missing share count can be tolerated if market cap is directly reported; otherwise market cap missing",CONFIRMED
shares_outstanding,US,SEC Company Facts,annual facts,"CommonStockSharesOutstanding; EntityCommonStockSharesOutstanding; WeightedAverageNumberOfShareOutstandingBasicAndDiluted","Do not silently substitute weighted-average shares for a price-date issued-share count",shares,annual or point-in-time,"Share-count provenance must identify whether issued or weighted average",CONFIRMED
shares_outstanding,CN_A/CN_AH,Tushare,stock_basic/daily_basic,"TOTAL_SHARE","Tushare total_share in 万股; multiply by 10,000 for shares; A/H uses explicit A and H legs instead",shares,quote/report date,"Use only as audited/verified share input per provenance",CONFIRMED
shares_outstanding,CN_AH,Other structured source,share structure,"TOTAL_SHARES; LISTED_A_SHARES; LIMITED_A_SHARES; H_FREE_SHARE; LIMITED_H_SHARES","A_shares=LISTED_A_SHARES+LIMITED_A_SHARES; H_shares=H_FREE_SHARE+LIMITED_H_SHARES; require reconciliation tolerance",shares,share-structure end date,"Missing or inconsistent legs makes A/H market cap partial",CONFIRMED
market_price,US,FMP,quote,"price","Use positive last price; preserve quote/as-of date",USD/share,price snapshot,"Missing price is a market-data failure; direct market cap may still exist but price date becomes unknown",CONFIRMED
market_price,CN_A,Tushare/quote,quote,"close; trade_date","Use positive close and trade_date",CNY/share,trade date,"Missing price plus missing direct market cap makes market cap partial",CONFIRMED
market_price,CN_AH,H quote and FX,quote + FX,"H price; HKD/CNY","H_leg=H_shares*H_price_HKD*HKD_CNY; preserve price date and FX date",HKD/share and CNY/HKD,price/FX dates,"Missing H price or FX makes H view partial",CONFIRMED
market_cap,US,FMP,quote,"marketCap","Use direct positive market cap; otherwise price*shares fallback only when both valid",USD,price snapshot,"Missing market cap is core missing input",CONFIRMED
market_cap,CN_A,Tushare/other quote,quote/daily basic,"total_mv; total_market_cap","Tushare total_mv in 万元 multiply by 10,000; otherwise raw positive provider market cap",CNY,trade date,"If no positive provider market cap and no valid price*shares, partial",CONFIRMED
market_cap,CN_AH,derived,A/H legs,"A_shares*A_price + H_shares*H_price*HKD_CNY","Combined value is internal compatibility value; human-facing views use alternative A and H EVs",CNY,price/FX dates,"Missing leg makes combined and relevant view partial",CONFIRMED
currency,US,FMP/SEC,profile/statement metadata,"reportedCurrency or currency","Set analysis currency USD; require FX if source currency differs",ISO currency code,statement/quote date,"Unknown currency blocks comparable calculation",CONFIRMED
currency,CN_A/CN_AH,Tushare/quote,market and statements,"CNY","Normalize financial and EV values to CNY",CNY,statement/quote date,"Unknown currency blocks calculation",CONFIRMED
fiscal_period,US,FMP/SEC,annual statement metadata,"fiscalYear; calendarYear; date; form; fp; frame","Use fiscalYear then calendarYear then period_end year; enforce FY and matching fiscal end for SEC",year and period_end,annual,"Duplicate/mismatched periods are excluded or deduped",CONFIRMED
fiscal_period,CN_A/CN_AH,Tushare,all statements,"REPORT_DATE; REPORT_TYPE","FY when date is Dec 31 or REPORT_TYPE contains 年报; interim otherwise",date,annual/YTD,"Unparseable date is excluded",CONFIRMED
filing_or_report_date,US,FMP/SEC,statement metadata,"fillingDate; acceptedDate; filingDate; filed","Keep as provenance; SEC same-period duplicates prefer later filed; FMP extraction historically keeps first row per fiscal year",date,annual,"Missing filing date reduces restatement traceability",LEGACY
filing_or_report_date,CN_A/CN_AH,Tushare,all statements,"ANN_DATE; F_ANN_DATE; UPDATE_FLAG","Same REPORT_DATE: UPDATE_FLAG=1, later ANN_DATE, later F_ANN_DATE",date,annual/interim,"If all absent, preserve first source row and flag low provenance",CONFIRMED
financial_sector,CN_A/CN_AH,structured profile/skill,security profile,"business type / verified profile","If bank, insurer or securities firm, return unsupported_financial_sector",classification,issuer identity,"Do not compute industrial FCFF/EV",CONFIRMED
